,loss,acc
0,0.5095588752289408,0.8054123520851135
1,0.5212875985857194,0.789340078830719
2,0.4998763950948183,0.807741105556488
3,0.5137048372902822,0.7970361113548279
4,0.5166525080339196,0.7951030731201172
5,0.5171405284367886,0.7944587469100952
6,0.4981547063589096,0.8081250190734863
7,0.5047964541260729,0.8009020686149597
8,0.5075777490268049,0.7970361113548279
9,0.5066153845811253,0.799492359161377
10,0.5007022806664103,0.8009020686149597
11,0.5038360263576213,0.8009020686149597
12,0.5147175881051526,0.7899484634399414
13,0.49489290177822115,0.8131250143051147
14,0.5011450457818729,0.8028350472450256
15,0.5076824403607968,0.7938144207000732
16,0.5036338457127207,0.7963917255401611
17,0.4951261517965249,0.8020304441452026
18,0.49855501012703807,0.7989690899848938
19,0.49468758425761744,0.8028350472450256
20,0.4908739936351776,0.8062499761581421
21,0.5050304891522398,0.7938144207000732
22,0.4903132723471553,0.8041236996650696
23,0.5066798771779562,0.7944587469100952
24,0.49359761095289045,0.8013959527015686
25,0.4977591123980314,0.7975888252258301
26,0.4955181384209505,0.7996134161949158
27,0.49304983849377976,0.7963917255401611
28,0.48989406742420294,0.807741105556488
29,0.49644928617575734,0.7976804375648499
30,0.4825375101287958,0.8032994866371155
31,0.4973292316972595,0.7970361113548279
32,0.5011553435595995,0.7938144207000732
33,0.4744004216896096,0.8083756566047668
34,0.4975228171373151,0.7918814420700073
35,0.4839578492538578,0.8083756566047668
36,0.49308553860359583,0.7983247637748718
37,0.48909248222554397,0.7963197827339172
38,0.4866006374359131,0.8015463948249817
39,0.4813812161762702,0.8013959527015686
40,0.49671996960934905,0.7963917255401611
41,0.4831902369395974,0.8028350472450256
42,0.47835459805987207,0.8045685291290283
43,0.4898424802981701,0.7957473993301392
44,0.4972019508941886,0.7918814420700073
45,0.47667272320858717,0.8058375716209412
46,0.486057576491748,0.7975888252258301
47,0.4777775480575168,0.8047680258750916
48,0.48786307617868346,0.7976804375648499
49,0.4793752198897037,0.7988578677177429
